date,cases,probable_cases,hospitalizations,deaths
2020-02-29,1,0,1,0
2020-03-01,0,0,1,0
2020-03-02,0,0,2,0
2020-03-03,1,0,7,0
2020-03-04,5,0,2,0
2020-03-05,3,0,14,0
2020-03-06,8,0,8,0
2020-03-07,7,0,8,0
2020-03-08,21,0,18,0
2020-03-09,57,0,37,0
2020-03-10,69,0,60,0
2020-03-11,155,0,78,1
2020-03-12,355,0,106,0
2020-03-13,619,0,152,0
2020-03-14,642,1,177,3
2020-03-15,1034,0,210,4
2020-03-16,2121,2,338,9
2020-03-17,2451,4,385,12
2020-03-18,2971,5,494,24
2020-03-19,3706,4,631,27
2020-03-20,4007,3,738,49
2020-03-21,2639,7,734,51
2020-03-22,2580,4,773,52
2020-03-23,3570,15,1131,96
2020-03-24,4497,12,1301,107
2020-03-25,4873,18,1434,143
2020-03-26,5044,44,1535,229
2020-03-27,5119,46,1585,262
2020-03-28,3478,51,1394,323
2020-03-29,3560,66,1509,356
2020-03-30,6129,92,1858,414
2020-03-31,5458,89,1816,476
2020-04-01,5448,109,1768,556
2020-04-02,5746,179,1684,676
2020-04-03,5670,179,1712,676
2020-04-04,3866,203,1460,715
2020-04-05,3782,181,1406,759
2020-04-06,6353,240,1750,816
2020-04-07,6044,234,1590,832
2020-04-08,5574,214,1559,782
2020-04-09,5070,208,1353,767
2020-04-10,4510,205,1293,742
2020-04-11,3732,186,1048,730
2020-04-12,2887,180,951,754
2020-04-13,3311,199,1156,768
2020-04-14,4144,155,984,661
2020-04-15,3876,122,866,578
2020-04-16,3530,143,782,555
2020-04-17,3586,105,790,489
2020-04-18,2172,123,584,513
2020-04-19,2342,96,536,494
2020-04-20,3792,101,641,465
2020-04-21,3061,103,587,426
2020-04-22,3446,88,519,399
2020-04-23,2841,85,448,415
2020-04-24,2535,66,474,380
2020-04-25,1595,60,327,325
2020-04-26,1003,55,307,300
2020-04-27,2290,52,370,322
2020-04-28,2726,38,356,267
2020-04-29,2339,37,313,274
2020-04-30,2021,30,254,253
2020-05-01,1886,47,263,256
2020-05-02,1058,35,208,224
2020-05-03,787,33,216,210
2020-05-04,1549,37,241,195
2020-05-05,1512,18,213,169
2020-05-06,1397,31,213,182
2020-05-07,1238,18,176,159
2020-05-08,1079,25,166,155
2020-05-09,657,11,123,110
2020-05-10,457,12,105,114
2020-05-11,1231,17,180,120
2020-05-12,1285,17,113,108
2020-05-13,1333,9,130,92
2020-05-14,1111,16,142,86
2020-05-15,873,11,128,98
2020-05-16,485,19,91,100
2020-05-17,360,12,80,89
2020-05-18,894,8,111,67
2020-05-19,1002,9,114,64
2020-05-20,1077,6,80,84
2020-05-21,1069,7,83,51
2020-05-22,1036,14,102,79
2020-05-23,455,4,74,64
2020-05-24,467,6,86,54
2020-05-25,464,7,79,53
2020-05-26,1050,8,76,42
2020-05-27,740,5,75,52
2020-05-28,646,5,79,41
2020-05-29,638,13,84,51
2020-05-30,346,5,54,56
2020-05-31,230,8,60,42
2020-06-01,686,12,81,39
2020-06-02,570,10,64,45
2020-06-03,515,4,73,45
2020-06-04,517,11,75,38
2020-06-05,402,15,53,31
2020-06-06,247,7,42,36
2020-06-07,197,15,54,29
2020-06-08,447,22,60,44
2020-06-09,419,9,65,33
2020-06-10,363,20,65,39
2020-06-11,363,18,49,26
2020-06-12,409,18,52,26
2020-06-13,196,13,35,17
2020-06-14,180,13,47,22
2020-06-15,380,18,52,20
2020-06-16,419,17,61,19
2020-06-17,356,13,49,21
2020-06-18,378,8,56,16
2020-06-19,361,24,45,16
2020-06-20,203,16,25,17
2020-06-21,172,12,44,22
2020-06-22,402,15,48,18
2020-06-23,381,14,44,19
2020-06-24,381,14,52,18
2020-06-25,298,10,43,16
2020-06-26,317,17,33,18
2020-06-27,206,13,43,17
2020-06-28,201,16,32,12
2020-06-29,437,26,47,19
2020-06-30,442,15,45,11
2020-07-01,396,22,39,10
2020-07-02,416,12,45,18
2020-07-03,233,14,30,12
2020-07-04,120,11,30,6
2020-07-05,155,10,29,9
2020-07-06,431,24,54,11
2020-07-07,461,24,47,7
2020-07-08,437,16,34,16
2020-07-09,391,18,46,5
2020-07-10,307,20,45,5
2020-07-11,259,17,34,9
2020-07-12,223,13,26,7
2020-07-13,483,21,49,15
2020-07-14,403,15,43,10
2020-07-15,440,22,44,14
2020-07-16,411,22,34,6
2020-07-17,413,19,50,10
2020-07-18,216,20,26,11
2020-07-19,175,27,38,10
2020-07-20,404,30,38,10
2020-07-21,341,14,24,6
2020-07-22,328,20,40,8
2020-07-23,309,14,33,8
2020-07-24,299,16,40,5
2020-07-25,153,15,35,11
2020-07-26,140,17,25,8
2020-07-27,313,18,38,3
2020-07-28,313,17,38,13
2020-07-29,287,24,30,5
2020-07-30,274,11,37,5
2020-07-31,262,23,34,4
2020-08-01,189,12,27,7
2020-08-02,135,10,33,2
2020-08-03,348,25,40,3
2020-08-04,187,19,32,5
2020-08-05,298,21,38,6
2020-08-06,288,18,34,6
2020-08-07,255,24,23,2
2020-08-08,160,25,21,4
2020-08-09,133,17,26,3
2020-08-10,312,31,41,5
2020-08-11,263,28,25,5
2020-08-12,320,19,31,3
2020-08-13,276,34,39,4
2020-08-14,277,22,38,4
2020-08-15,151,15,23,5
2020-08-16,140,19,21,5
2020-08-17,333,25,33,5
2020-08-18,283,26,39,2
2020-08-19,257,39,35,1
2020-08-20,227,21,37,6
2020-08-21,252,28,31,5
2020-08-22,136,21,27,7
2020-08-23,150,20,23,3
2020-08-24,297,22,36,8
2020-08-25,283,19,40,3
2020-08-26,313,23,28,7
2020-08-27,274,22,31,1
2020-08-28,280,19,22,6
2020-08-29,128,25,22,4
2020-08-30,186,21,20,6
2020-08-31,315,16,42,1
2020-09-01,294,34,21,3
2020-09-02,271,25,29,5
2020-09-03,273,29,18,3
2020-09-04,229,20,31,6
2020-09-05,156,11,22,3
2020-09-06,207,24,31,6
2020-09-07,217,23,19,0
2020-09-08,393,23,26,2
2020-09-09,353,31,31,2
2020-09-10,323,28,25,4
2020-09-11,313,32,32,6
2020-09-12,202,25,11,4
2020-09-13,263,27,17,3
2020-09-14,461,27,32,5
2020-09-15,414,50,29,5
2020-09-16,456,37,46,6
2020-09-17,441,35,34,3
2020-09-18,292,38,37,3
2020-09-19,218,23,21,5
2020-09-20,220,26,24,5
2020-09-21,558,53,29,3
2020-09-22,497,56,34,4
2020-09-23,612,65,38,5
2020-09-24,542,71,42,3
2020-09-25,463,57,46,5
2020-09-26,280,33,26,5
2020-09-27,382,48,37,4
2020-09-28,437,41,38,5
2020-09-29,723,71,50,6
2020-09-30,606,83,51,8
2020-10-01,705,79,41,7
2020-10-02,605,82,49,3
2020-10-03,299,42,25,6
2020-10-04,335,64,44,7
2020-10-05,766,116,55,0
