date,mob_retail,mob_grocery,mob_parks,mob_transit,mob_work,mob_residential
2020-02-15,-1.0,-5.2,-7.6,-3.4,1.0,0.2
2020-02-16,2.2,-4.4,4.4,-1.6,-1.6,-0.6
2020-02-17,4.8,-4.6,17.0,-22.4,-42.4,10.0
2020-02-18,-1.4,-4.4,-4.4,-6.0,-9.2,2.8
2020-02-19,2.0,-3.2,10.6,-4.2,-8.4,1.8
2020-02-20,1.0,-3.4,-2.2,-5.0,-8.6,2.0
2020-02-21,-3.6,-7.2,-8.8,-7.2,-8.8,3.6
2020-02-22,6.0,0.4,27.8,4.4,5.0,-1.0
2020-02-23,5.2,0.4,46.0,3.0,1.4,-1.0
2020-02-24,3.4,-1.0,21.6,1.2,5.0,-0.2
2020-02-25,-2.4,-3.6,-2.6,0.0,3.2,0.2
2020-02-26,1.4,-0.4,-2.4,-0.4,3.0,0.0
2020-02-27,2.8,0.2,-5.2,0.2,3.2,0.0
2020-02-28,1.6,0.4,-8.0,0.6,3.8,0.0
2020-02-29,5.0,1.8,-6.0,1.2,5.6,-0.6
2020-03-01,4.6,2.4,3.0,0.0,1.4,-0.2
2020-03-02,7.2,5.8,15.4,0.8,5.4,-0.2
2020-03-03,3.4,4.8,5.8,0.8,4.0,0.0
2020-03-04,7.4,7.8,17.6,0.0,2.2,-0.2
2020-03-05,8.2,9.2,19.8,0.4,3.0,-0.6
2020-03-06,-4.4,-2.2,-9.4,-3.6,2.2,1.6
2020-03-07,6.8,8.4,22.2,3.0,6.4,-0.2
2020-03-08,5.2,5.4,51.4,0.0,0.6,-0.2
2020-03-09,8.2,7.2,54.0,-1.4,2.0,0.6
2020-03-10,1.6,8.4,17.6,-4.6,-2.2,2.0
2020-03-11,2.2,10.0,21.4,-7.4,-3.2,2.2
2020-03-12,-1.2,27.0,2.8,-12.2,-7.2,4.2
2020-03-13,-8.4,26.4,10.0,-18.4,-12.0,6.4
2020-03-14,-12.2,19.0,31.4,-17.6,-3.8,4.0
2020-03-15,-18.8,11.0,27.8,-24.6,-10.4,5.2
2020-03-16,-19.8,18.6,-16.4,-35.2,-31.2,13.4
2020-03-17,-31.8,12.2,-13.0,-41.4,-37.2,16.6
2020-03-18,-33.4,8.0,1.0,-44.4,-40.4,17.6
2020-03-19,-40.4,-2.2,-18.2,-49.0,-44.8,20.4
2020-03-20,-41.6,5.8,3.2,-49.0,-48.0,22.0
2020-03-21,-48.0,1.2,1.2,-47.2,-33.6,14.2
2020-03-22,-59.0,-21.4,-28.6,-57.4,-40.8,14.8
2020-03-23,-66.8,-43.2,-67.2,-68.4,-61.8,29.0
2020-03-24,-55.6,-19.8,-14.8,-61.8,-61.8,27.0
2020-03-25,-61.0,-29.6,-48.6,-65.2,-62.8,28.6
2020-03-26,-56.8,-21.8,-11.8,-63.2,-63.4,28.2
2020-03-27,-59.0,-24.4,-9.2,-62.6,-63.2,29.8
2020-03-28,-68.4,-33.6,-55.8,-64.6,-50.8,20.0
2020-03-29,-69.2,-36.4,-57.0,-66.2,-51.6,18.0
2020-03-30,-60.2,-30.4,-42.8,-66.4,-66.0,29.0
