date,cases,probable_cases,hospitalizations,deaths,mob_retail,mob_grocery,mob_parks,mob_transit,mob_work,mob_residential,trend_covid_topic,total_cases
2020-02-29,1.0,0.0,1.0,0,5.0,1.8,-6.0,1.2,5.6,-0.6,1.1745360582569886,1.0
2020-03-01,0.0,0.0,1.0,0,4.6,2.4,3.0,0.0,1.4,-0.2,1.5660480776759849,0.0
2020-03-02,0.0,0.0,2.0,0,7.2,5.8,15.4,0.8,5.4,-0.2,2.7405841359329735,0.0
2020-03-03,1.0,0.0,7.0,0,3.4,4.8,5.8,0.8,4.0,0.0,2.7405841359329735,1.0
2020-03-04,5.0,0.0,2.0,0,7.4,7.8,17.6,0.0,2.2,-0.2,3.915120194189962,5.0
2020-03-05,3.0,0.0,14.0,0,8.2,9.2,19.8,0.4,3.0,-0.6,5.481168271865947,3.0
2020-03-06,8.0,0.0,8.0,0,-4.4,-2.2,-9.4,-3.6,2.2,1.6,5.481168271865947,8.0
2020-03-07,7.0,0.0,8.0,0,6.8,8.4,22.2,3.0,6.4,-0.2,5.872680291284943,7.0
2020-03-08,21.0,0.0,18.0,0,5.2,5.4,51.4,0.0,0.6,-0.2,5.872680291284943,21.0
2020-03-09,57.0,0.0,37.0,0,8.2,7.2,54.0,-1.4,2.0,0.6,11.745360582569884,57.0
2020-03-10,69.0,0.0,60.0,0,1.6,8.4,17.6,-4.6,-2.2,2.0,21.14164904862579,69.0
2020-03-11,155.0,0.0,78.0,1,2.2,10.0,21.4,-7.4,-3.2,2.2,16.835016835016837,155.0
2020-03-12,355.0,0.0,106.0,0,-1.2,27.0,2.8,-12.2,-7.2,4.2,20.750137029206797,355.0
2020-03-13,619.0,0.0,152.0,0,-8.4,26.4,10.0,-18.4,-12.0,6.4,19.18408895153081,619.0
2020-03-14,642.0,1.0,177.0,3,-12.2,19.0,31.4,-17.6,-3.8,4.0,20.750137029206797,643.0
2020-03-15,0.0,0.0,210.0,4,-18.8,11.0,27.8,-24.6,-10.4,5.2,23.49072116513977,0.0
2020-03-16,0.0,2.0,338.0,9,-19.8,18.6,-16.4,-35.2,-31.2,13.4,30.146425495262708,2.0
2020-03-17,0.0,4.0,385.0,12,-31.8,12.2,-13.0,-41.4,-37.2,16.6,29.363401456424715,4.0
2020-03-18,0.0,5.0,494.0,24,-33.4,8.0,1.0,-44.4,-40.4,17.6,29.363401456424715,5.0
2020-03-19,0.0,4.0,631.0,27,-40.4,-2.2,-18.2,-49.0,-44.8,20.4,33.670033670033675,4.0
2020-03-20,0.0,3.0,738.0,49,-41.6,5.8,3.2,-49.0,-48.0,22.0,36.410617805966645,3.0
2020-03-21,0.0,7.0,734.0,51,-48.0,1.2,1.2,-47.2,-33.6,14.2,35.236081747709655,7.0
2020-03-22,0.0,4.0,773.0,52,-59.0,-21.4,-28.6,-57.4,-40.8,14.8,39.151201941899615,4.0
2020-03-23,0.0,15.0,0.0,96,-66.8,-43.2,-67.2,-68.4,-61.8,29.0,38.759689922480625,15.0
2020-03-24,0.0,12.0,0.0,107,-55.6,-19.8,-14.8,-61.8,-61.8,27.0,35.62759376712865,12.0
2020-03-25,0.0,18.0,0.0,143,-61.0,-29.6,-48.6,-65.2,-62.8,28.6,37.97666588364263,18.0
2020-03-26,0.0,44.0,0.0,229,-56.8,-21.8,-11.8,-63.2,-63.4,28.2,39.30178348783,44.0
2020-03-27,0.0,46.0,0.0,262,-59.0,-24.4,-9.2,-62.6,-63.2,29.8,35.91369870439639,46.0
2020-03-28,0.0,51.0,0.0,323,-68.4,-33.6,-55.8,-64.6,-50.8,20.0,42.0122513145769,51.0
2020-03-29,0.0,66.0,0.0,356,-69.2,-36.4,-57.0,-66.2,-51.6,18.0,44.04510218463707,66.0
2020-03-30,0.0,92.0,0.0,414,-60.2,-30.4,-42.8,-66.4,-66.0,29.0,46.07795305469725,92.0
2020-03-31,0.0,89.0,0.0,476,-60.6,-29.8,-43.8,-67.2,-67.8,30.0,44.04510218463707,89.0
2020-04-01,0.0,109.0,0.0,556,-57.6,-25.2,-28.0,-66.4,-68.0,29.6,45.40033609801052,109.0
2020-04-02,0.0,179.0,0.0,676,-59.8,-25.6,-37.6,-67.6,-68.8,31.2,44.72271914132379,179.0
2020-04-03,0.0,179.0,0.0,676,-63.8,-28.6,-57.2,-68.2,-68.8,33.0,45.40033609801052,179.0
2020-04-04,0.0,203.0,0.0,715,-64.6,-26.0,-20.2,-62.2,-54.0,20.0,40.657017401203454,203.0
2020-04-05,0.0,181.0,0.0,759,-66.8,-33.0,-27.4,-65.2,-53.2,17.4,51.49888870819104,181.0
2020-04-06,0.0,240.0,0.0,816,-59.8,-27.4,-20.0,-67.6,-68.6,29.6,49.466037838130866,240.0
2020-04-07,0.0,234.0,0.0,832,-66.2,-20.4,-23.2,-68.4,-69.6,30.2,44.72271914132379,234.0
2020-04-08,0.0,214.0,0.0,782,-68.2,-22.6,-29.2,-69.6,-70.4,30.6,43.36748522795035,214.0
2020-04-09,0.0,208.0,0.0,767,-70.6,-25.8,-49.2,-71.4,-71.8,32.2,42.0122513145769,208.0
2020-04-10,0.0,205.0,0.0,742,-71.8,-24.2,-54.8,-71.2,-72.4,34.2,35.91369870439639,205.0
2020-04-11,0.0,186.0,0.0,730,-69.4,-17.8,-17.6,-62.8,-54.0,19.8,37.26893261776983,186.0
2020-04-12,0.0,180.0,951.0,754,-76.4,-40.2,-19.8,-65.0,-54.6,17.8,37.26893261776983,180.0
2020-04-13,0.0,199.0,0.0,768,-76.2,-47.0,-62.4,-74.8,-70.6,32.6,37.946549574456554,199.0
2020-04-14,0.0,155.0,984.0,661,-65.0,-23.2,-20.6,-66.8,-68.0,29.2,39.30178348783,155.0
2020-04-15,0.0,122.0,866.0,578,-65.2,-26.4,-28.0,-68.2,-68.8,30.2,50.82127175150431,122.0
2020-04-16,0.0,143.0,782.0,555,-66.4,-24.8,-38.8,-68.8,-68.6,30.0,52.17650566487776,143.0
2020-04-17,0.0,105.0,790.0,489,-68.2,-26.0,-44.4,-67.4,-67.0,31.8,43.36748522795035,105.0
2020-04-18,0.0,123.0,584.0,513,-72.2,-30.2,-49.6,-64.4,-51.2,20.4,48.78842088144414,123.0
2020-04-19,0.0,96.0,536.0,494,-69.0,-29.6,2.2,-61.8,-48.4,16.4,49.466037838130866,96.0
2020-04-20,0.0,101.0,641.0,465,-65.6,-28.4,-30.6,-67.0,-65.6,28.8,67.76169566867243,101.0
2020-04-21,0.0,103.0,587.0,426,-68.8,-33.8,-44.6,-70.2,-67.2,30.2,48.78842088144414,103.0
2020-04-22,0.0,88.0,519.0,399,-64.6,-24.6,-29.2,-67.6,-66.2,29.0,30.49276305090259,88.0
2020-04-23,0.0,85.0,448.0,415,-65.4,-25.0,-37.8,-68.0,-66.4,29.8,29.815146094215866,85.0
2020-04-24,0.0,66.0,474.0,380,-70.2,-32.2,-57.8,-69.8,-66.2,32.4,24.39421044072207,66.0
2020-04-25,0.0,60.0,327.0,325,-64.4,-19.2,26.0,-56.6,-46.4,17.0,24.39421044072207,60.0
2020-04-26,0.0,55.0,307.0,300,-74.2,-40.0,-61.0,-67.0,-50.0,17.6,25.74944435409552,55.0
2020-04-27,0.0,52.0,370.0,322,-64.8,-29.2,-44.6,-67.2,-64.0,28.6,28.459912180842416,52.0
2020-04-28,0.0,38.0,356.0,267,-59.8,-19.0,16.0,-63.6,-64.0,21.6,26.42706131078224,38.0
2020-04-29,0.0,37.0,313.0,274,-64.0,-27.4,-39.4,-67.2,-64.6,28.6,25.74944435409552,37.0
2020-04-30,0.0,30.0,254.0,253,-64.8,-28.4,-50.2,-68.6,-65.6,29.8,25.74944435409552,30.0
2020-05-01,0.0,47.0,263.0,256,-62.2,-21.0,-29.0,-64.2,-63.2,29.4,21.00612565728845,47.0
2020-05-02,0.0,35.0,208.0,224,-58.4,-14.0,59.6,-52.6,-42.4,15.0,21.00612565728845,35.0
2020-05-03,787.0,33.0,216.0,210,-61.4,-23.4,47.6,-56.4,-42.6,13.2,23.038976527348623,820.0
2020-05-04,0.0,37.0,241.0,195,-57.0,-21.8,-11.6,-63.0,-61.4,26.0,22.361359570661897,37.0
2020-05-05,0.0,18.0,213.0,169,-56.2,-15.8,-3.0,-62.4,-62.0,25.8,23.038976527348623,18.0
2020-05-06,0.0,31.0,213.0,182,-62.4,-25.4,-45.8,-66.0,-62.6,27.6,23.716593484035347,31.0
2020-05-07,0.0,18.0,176.0,159,-56.2,-12.2,13.6,-62.0,-61.6,26.0,24.39421044072207,18.0
