cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
815.0,815.0,103.0,3.0,-20.2,-8.6,15.8,-28.2,-26.2,4.8,16.049382716049383
839.0,839.0,103.0,11.0,-20.4,-9.8,13.0,-29.0,-26.2,4.6,15.567901234567902
747.0,747.0,98.0,11.0,-20.0,-8.2,19.6,-28.2,-26.2,4.6,15.407407407407408
743.0,743.0,123.0,4.0,-26.2,-13.8,-10.2,-31.2,-28.2,6.0,14.28395061728395
659.0,659.0,105.0,13.0,-24.8,-17.4,11.4,-25.0,-16.6,1.0,14.765432098765432
727.0,727.0,84.0,11.0,-18.0,-15.2,61.8,-22.4,-15.2,0.0,13.11711711711712
0.0,0.0,123.0,7.0,-26.6,-15.2,-10.0,-32.4,-28.8,7.2,15.615615615615615
932.0,932.0,122.0,7.0,-18.8,-8.6,25.8,-26.6,-26.0,4.4,20.82082082082082
976.0,976.0,108.0,8.0,-18.2,-10.0,19.8,-27.8,-26.6,4.4,17.905905905905907
787.0,787.0,77.0,5.0,-23.2,-12.6,-3.4,-30.4,-28.4,5.6,17.489489489489493
745.0,745.0,128.0,10.0,-26.8,-16.0,-10.6,-30.4,-28.6,6.2,15.615615615615615
596.0,596.0,132.0,14.0,-18.8,-13.6,77.8,-15.8,-16.4,-1.6,14.15815815815816
677.0,677.0,111.0,6.0,-18.8,-16.4,60.4,-21.0,-16.6,-0.2,13.11711711711712
988.0,988.0,134.0,12.0,-20.4,-10.8,13.2,-29.4,-28.4,5.8,14.990990990990994
859.0,859.0,108.0,14.0,-21.6,-11.2,7.2,-28.4,-27.0,5.6,14.366366366366368
778.0,778.0,133.0,11.0,-18.4,-9.8,16.8,-28.2,-27.0,4.6,12.492492492492492
721.0,721.0,117.0,6.0,-18.4,-8.4,18.4,-28.2,-28.2,4.4,12.908908908908913
256.0,256.0,90.0,8.0,-25.8,-13.8,-10.4,-31.6,-31.6,6.4,12.076076076076076
209.0,209.0,70.0,8.0,-25.2,-15.6,19.4,-27.0,-20.8,0.8,10.202202202202203
502.0,502.0,87.0,13.0,-17.2,-15.6,80.8,-17.6,-18.4,-3.2,10.826826826826826
503.0,503.0,95.0,5.0,-24.2,-19.8,61.2,-50.0,-69.6,12.6,11.867867867867869
862.0,862.0,120.0,8.0,-21.6,-10.6,18.8,-28.0,-28.8,4.6,12.908908908908913
