cases_raw,cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
3275.0,3252.6666666666665,489.0,77.0,4.0,-23.6,-11.2,-3.4,-29.8,-27.4,5.4,10.592592592592592
2064.0,2836.3333333333335,445.0,70.0,5.0,-19.2,-11.8,44.8,-20.4,-14.4,-0.6,10.91358024691358
2368.0,2569.0,490.0,62.0,4.0,-19.4,-15.0,51.6,-13.2,-15.4,0.4,10.271604938271606
4594.0,3008.6666666666665,698.0,68.0,6.0,-29.2,-16.8,-32.6,-38.0,-38.8,10.0,13.48148148148148
4517.0,3826.3333333333335,738.0,90.0,6.0,-21.4,-7.4,1.4,-27.8,-26.0,5.4,12.037037037037036
4480.0,4530.333333333333,761.0,86.0,4.0,-24.6,-12.2,-11.8,-31.2,-26.4,6.4,12.037037037037036
4289.0,4428.666666666667,717.0,102.0,5.0,-15.6,-4.8,21.0,-27.2,-26.0,3.8,13.160493827160494
3704.0,4157.666666666667,620.0,87.0,6.0,-30.4,-18.2,-42.2,-34.0,-29.2,7.8,13.320987654320987
2365.0,3452.6666666666665,511.0,77.0,7.0,-31.6,-21.0,-43.2,-35.0,-19.2,4.0,13.48148148148148
2546.0,2871.6666666666665,571.0,67.0,6.0,-18.4,-13.0,-7.2,-25.6,-16.6,0.4,12.358024691358024
5321.0,3410.6666666666665,967.0,101.0,8.0,-22.4,-10.8,6.2,-30.0,-27.8,5.8,16.049382716049383
4860.0,4242.333333333333,815.0,103.0,3.0,-20.2,-8.6,15.8,-28.2,-26.2,4.8,16.049382716049383
4924.0,5035.0,839.0,103.0,11.0,-20.4,-9.8,13.0,-29.0,-26.2,4.6,15.567901234567902
4746.0,4843.333333333333,747.0,98.0,11.0,-20.0,-8.2,19.6,-28.2,-26.2,4.6,15.407407407407408
4276.0,4648.666666666667,743.0,123.0,4.0,-26.2,-13.8,-10.2,-31.2,-28.2,6.0,14.28395061728395
3093.0,4038.3333333333335,659.0,105.0,13.0,-24.8,-17.4,11.4,-25.0,-16.6,1.0,14.765432098765432
2967.0,3445.3333333333335,727.0,84.0,11.0,-18.0,-15.2,61.8,-22.4,-15.2,0.0,13.11711711711712
5586.0,3882.0,1076.0,123.0,7.0,-26.6,-15.2,-10.0,-32.4,-28.8,7.2,15.615615615615615
5086.0,4546.333333333333,932.0,122.0,7.0,-18.8,-8.6,25.8,-26.6,-26.0,4.4,20.82082082082082
5232.0,5301.333333333333,976.0,108.0,8.0,-18.2,-10.0,19.8,-27.8,-26.6,4.4,17.905905905905907
4541.0,4953.0,787.0,77.0,5.0,-23.2,-12.6,-3.4,-30.4,-28.4,5.6,17.489489489489493
4183.0,4652.0,745.0,128.0,10.0,-26.8,-16.0,-10.6,-30.4,-28.6,6.2,15.615615615615615
3050.0,3924.6666666666665,596.0,132.0,14.0,-18.8,-13.6,77.8,-15.8,-16.4,-1.6,14.15815815815816
3009.0,3414.0,677.0,111.0,6.0,-18.8,-16.4,60.4,-21.0,-16.6,-0.2,13.11711711711712
5692.0,3917.0,988.0,134.0,12.0,-20.4,-10.8,13.2,-29.4,-28.4,5.8,14.990990990990994
4817.0,4506.0,859.0,108.0,14.0,-21.6,-11.2,7.2,-28.4,-27.0,5.6,14.366366366366368
4663.0,5057.333333333333,778.0,133.0,11.0,-18.4,-9.8,16.8,-28.2,-27.0,4.6,12.492492492492492
4027.0,4502.333333333333,721.0,117.0,6.0,-18.4,-8.4,18.4,-28.2,-28.2,4.4,12.908908908908913
3220.0,3970.0,256.0,90.0,8.0,-25.8,-13.8,-10.4,-31.6,-31.6,6.4,12.076076076076076
2215.0,3154.0,209.0,70.0,8.0,-25.2,-15.6,19.4,-27.0,-20.8,0.8,10.202202202202203
2290.0,2575.0,502.0,87.0,13.0,-17.2,-15.6,80.8,-17.6,-18.4,-3.2,10.826826826826826
2228.0,2244.3333333333335,503.0,95.0,5.0,-24.2,-19.8,61.2,-50.0,-69.6,12.6,11.867867867867869
5147.0,3221.6666666666665,862.0,120.0,8.0,-21.6,-10.6,18.8,-28.0,-28.8,4.6,12.908908908908913
4350.0,3908.3333333333335,742.0,105.0,10.0,-22.2,-11.0,-5.8,-28.8,-27.2,5.6,13.325325325325329
3796.0,4431.0,596.0,115.0,13.0,-22.0,-10.2,-2.8,-28.6,-27.8,5.4,11.65965965965966
