date,cases_raw,cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
2020-02-29,1.0,1.0,0.0,1.0,0.0,5.0,1.8,-6.0,1.2,5.6,-0.6,1.1745360582569886
2020-03-01,0.0,0.5,0.0,1.0,0.0,4.6,2.4,3.0,0.0,1.4,-0.2,1.5660480776759849
2020-03-02,0.0,0.3333333333333333,0.0,2.0,0.0,7.2,5.8,15.4,0.8,5.4,-0.2,2.7405841359329735
2020-03-03,1.0,0.5,0.0,7.0,0.0,3.4,4.8,5.8,0.8,4.0,0.0,2.7405841359329735
2020-03-04,5.0,1.4,0.0,2.0,0.0,7.4,7.8,17.6,0.0,2.2,-0.2,3.915120194189962
2020-03-05,3.0,1.6666666666666667,0.0,14.0,0.0,8.2,9.2,19.8,0.4,3.0,-0.6,5.481168271865947
2020-03-06,8.0,2.5714285714285716,0.0,8.0,0.0,-4.4,-2.2,-9.4,-3.6,2.2,1.6,5.481168271865947
2020-03-07,7.0,3.4285714285714284,0.0,8.0,0.0,6.8,8.4,22.2,3.0,6.4,-0.2,5.872680291284943
2020-03-08,21.0,6.428571428571429,0.0,18.0,0.0,5.2,5.4,51.4,0.0,0.6,-0.2,5.872680291284943
2020-03-09,57.0,14.571428571428571,0.0,37.0,0.0,8.2,7.2,54.0,-1.4,2.0,0.6,11.745360582569884
2020-03-10,69.0,24.285714285714285,0.0,60.0,0.0,1.6,8.4,17.6,-4.6,-2.2,2.0,21.14164904862579
2020-03-11,155.0,45.714285714285715,0.0,78.0,1.0,2.2,10.0,21.4,-7.4,-3.2,2.2,16.835016835016837
2020-03-12,355.0,96.0,0.0,106.0,0.0,-1.2,27.0,2.8,-12.2,-7.2,4.2,20.750137029206797
2020-03-13,619.0,183.28571428571428,0.0,152.0,0.0,-8.4,26.4,10.0,-18.4,-12.0,6.4,19.18408895153081
2020-03-14,643.0,274.14285714285717,1.0,177.0,3.0,-12.2,19.0,31.4,-17.6,-3.8,4.0,20.750137029206797
2020-03-15,1034.0,418.85714285714283,0.0,210.0,4.0,-18.8,11.0,27.8,-24.6,-10.4,5.2,23.49072116513977
2020-03-16,2123.0,714.0,2.0,338.0,9.0,-19.8,18.6,-16.4,-35.2,-31.2,13.4,30.146425495262708
2020-03-17,2455.0,1054.857142857143,4.0,385.0,12.0,-31.8,12.2,-13.0,-41.4,-37.2,16.6,29.363401456424715
2020-03-18,2976.0,1457.857142857143,5.0,494.0,24.0,-33.4,8.0,1.0,-44.4,-40.4,17.6,29.363401456424715
2020-03-19,3710.0,1937.142857142857,4.0,631.0,27.0,-40.4,-2.2,-18.2,-49.0,-44.8,20.4,33.670033670033675
2020-03-20,4010.0,2421.5714285714284,3.0,738.0,49.0,-41.6,5.8,3.2,-49.0,-48.0,22.0,36.410617805966645
2020-03-21,2646.0,2707.714285714286,7.0,734.0,51.0,-48.0,1.2,1.2,-47.2,-33.6,14.2,35.236081747709655
2020-03-22,2584.0,2929.1428571428573,4.0,773.0,52.0,-59.0,-21.4,-28.6,-57.4,-40.8,14.8,39.151201941899615
2020-03-23,3585.0,3138.0,15.0,1131.0,96.0,-66.8,-43.2,-67.2,-68.4,-61.8,29.0,38.759689922480625
2020-03-24,4509.0,3431.4285714285716,12.0,1301.0,107.0,-55.6,-19.8,-14.8,-61.8,-61.8,27.0,35.62759376712865
2020-03-25,4891.0,3705.0,18.0,1434.0,143.0,-61.0,-29.6,-48.6,-65.2,-62.8,28.6,37.97666588364263
2020-03-26,5088.0,3901.8571428571427,44.0,1535.0,229.0,-56.8,-21.8,-11.8,-63.2,-63.4,28.2,39.30178348783
2020-03-27,5165.0,4066.8571428571427,46.0,1585.0,262.0,-59.0,-24.4,-9.2,-62.6,-63.2,29.8,35.91369870439639
2020-03-28,3529.0,4193.0,51.0,1394.0,323.0,-68.4,-33.6,-55.8,-64.6,-50.8,20.0,42.0122513145769
2020-03-29,3626.0,4341.857142857143,66.0,1509.0,356.0,-69.2,-36.4,-57.0,-66.2,-51.6,18.0,44.04510218463707
2020-03-30,6221.0,4718.428571428572,92.0,1858.0,414.0,-60.2,-30.4,-42.8,-66.4,-66.0,29.0,46.07795305469725
2020-03-31,5547.0,4866.714285714285,89.0,1816.0,476.0,-60.6,-29.8,-43.8,-67.2,-67.8,30.0,44.04510218463707
2020-04-01,5557.0,4961.857142857143,109.0,1768.0,556.0,-57.6,-25.2,-28.0,-66.4,-68.0,29.6,45.40033609801052
2020-04-02,5925.0,5081.428571428572,179.0,1684.0,676.0,-59.8,-25.6,-37.6,-67.6,-68.8,31.2,44.72271914132379
