date,observed_or_filled_yoy_pp,clipped_yoy_pp,noise_pp,released_yoy_pp,scaled_signal
2020-02-29,-2.0,-2.0,0.0,-2.0,-0.02
2020-03-01,-2.0,-2.0,0.0,-2.0,-0.02
2020-03-02,-6.0,-6.0,0.0,-6.0,-0.06
2020-03-03,-12.0,-12.0,0.0,-12.0,-0.12
2020-03-04,-12.0,-12.0,0.0,-12.0,-0.12
2020-03-05,-9.0,-9.0,0.0,-9.0,-0.09
2020-03-06,-15.0,-15.0,0.0,-15.0,-0.15
2020-03-07,-10.0,-10.0,0.0,-10.0,-0.1
2020-03-08,-4.0,-4.0,0.0,-4.0,-0.04
2020-03-09,-18.0,-18.0,0.0,-18.0,-0.18
2020-03-10,-30.0,-30.0,0.0,-30.0,-0.3
2020-03-11,-36.0,-36.0,0.0,-36.0,-0.36
2020-03-12,-52.0,-52.0,0.0,-52.0,-0.52
2020-03-13,-61.0,-61.0,0.0,-61.0,-0.61
2020-03-14,-64.0,-64.0,0.0,-64.0,-0.64
2020-03-15,-69.0,-69.0,0.0,-69.0,-0.69
2020-03-16,-77.0,-77.0,0.0,-77.0,-0.77
2020-03-17,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-18,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-19,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-20,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-21,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-22,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-23,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-24,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-25,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-26,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-27,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-28,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-29,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-30,-100.0,-100.0,0.0,-100.0,-1.0
2020-03-31,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-01,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-02,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-03,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-04,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-05,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-06,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-07,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-08,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-09,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-10,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-11,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-12,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-13,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-14,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-15,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-16,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-17,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-18,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-19,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-20,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-21,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-22,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-23,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-24,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-25,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-26,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-27,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-28,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-29,-100.0,-100.0,0.0,-100.0,-1.0
2020-04-30,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-01,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-02,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-03,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-04,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-05,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-06,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-07,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-08,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-09,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-10,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-11,-99.98,-99.98,0.0,-99.98,-0.9998
2020-05-12,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-13,-100.0,-100.0,0.0,-100.0,-1.0
2020-05-14,-99.98,-99.98,0.0,-99.98,-0.9998
2020-05-15,-99.96,-99.96,0.0,-99.96,-0.9996
2020-05-16,-99.96,-99.96,0.0,-99.96,-0.9996
2020-05-17,-99.96,-99.96,0.0,-99.96,-0.9996
2020-05-18,-99.19,-99.19,0.0,-99.19,-0.9919
2020-05-19,-99.36,-99.36,0.0,-99.36,-0.9936
2020-05-20,-98.63,-98.63,0.0,-98.63,-0.9863
