date,observed_or_filled_yoy_pp,clipped_yoy_pp,noise_pp,released_yoy_pp,scaled_signal
2020-02-29,-2.0,-2.0,0.068265416,-1.9317346,-0.019317346
2020-03-01,-2.0,-2.0,-0.07172654,-2.0717266,-0.020717265
2020-03-02,-6.0,-6.0,0.34771848,-5.6522818,-0.056522816
2020-03-03,-12.0,-12.0,0.05695568,-11.943045,-0.119430445
2020-03-04,-12.0,-12.0,-0.2908425,-12.290842,-0.12290842
2020-03-05,-9.0,-9.0,0.1963286,-8.803672,-0.088036716
2020-03-06,-15.0,-15.0,0.7080088,-14.291991,-0.14291991
2020-03-07,-10.0,-10.0,0.51421905,-9.485781,-0.094857804
2020-03-08,-4.0,-4.0,-0.38209412,-4.382094,-0.04382094
2020-03-09,-18.0,-18.0,-0.68706256,-18.687063,-0.18687063
2020-03-10,-30.0,-30.0,-0.3384078,-30.338408,-0.30338407
2020-03-11,-36.0,-36.0,0.022438005,-35.977562,-0.35977563
2020-03-12,-52.0,-52.0,-1.262379,-53.26238,-0.53262377
2020-03-13,-61.0,-61.0,-0.11879327,-61.118793,-0.61118793
2020-03-14,-64.0,-64.0,-0.67646927,-64.67647,-0.6467647
2020-03-15,-69.0,-69.0,-0.3975857,-69.39758,-0.6939758
2020-03-16,-77.0,-77.0,-0.29550624,-77.29551,-0.7729551
2020-03-17,-100.0,-100.0,-0.17173566,-100.0,-1.0
2020-03-18,-100.0,-100.0,0.22349544,-99.776505,-0.99776506
2020-03-19,-100.0,-100.0,0.56603426,-99.43397,-0.9943397
2020-03-20,-100.0,-100.0,-0.06978809,-100.0,-1.0
2020-03-21,-100.0,-100.0,0.74192345,-99.25808,-0.9925808
2020-03-22,-100.0,-100.0,-0.36116847,-100.0,-1.0
2020-03-23,-100.0,-100.0,0.19085294,-99.80915,-0.9980915
2020-03-24,-100.0,-100.0,0.49054053,-99.50946,-0.9950946
2020-03-25,-100.0,-100.0,0.05104412,-99.94896,-0.9994896
2020-03-26,-100.0,-100.0,-0.40368405,-100.0,-1.0
2020-03-27,-100.0,-100.0,-0.5004522,-100.0,-1.0
2020-03-28,-100.0,-100.0,-0.24852294,-100.0,-1.0
2020-03-29,-100.0,-100.0,0.11955528,-99.88045,-0.99880445
2020-03-30,-100.0,-100.0,-0.5481737,-100.0,-1.0
2020-03-31,-100.0,-100.0,-0.1135722,-100.0,-1.0
2020-04-01,-100.0,-100.0,-0.08645146,-100.0,-1.0
2020-04-02,-100.0,-100.0,0.29365295,-99.706345,-0.99706346
2020-04-03,-100.0,-100.0,0.1165495,-99.88345,-0.99883455
2020-04-04,-100.0,-100.0,0.19295016,-99.80705,-0.99807054
2020-04-05,-100.0,-100.0,-0.35499725,-100.0,-1.0
2020-04-06,-100.0,-100.0,-0.07037392,-100.0,-1.0
2020-04-07,-100.0,-100.0,0.4256607,-99.57434,-0.9957434
2020-04-08,-100.0,-100.0,0.81086075,-99.18914,-0.9918914
2020-04-09,-100.0,-100.0,-0.6836116,-100.0,-1.0
2020-04-10,-100.0,-100.0,0.8219873,-99.17801,-0.9917801
2020-04-11,-100.0,-100.0,0.73074514,-99.26926,-0.9926926
2020-04-12,-100.0,-100.0,0.4242142,-99.57578,-0.9957578
2020-04-13,-100.0,-100.0,0.14358659,-99.856415,-0.9985641
2020-04-14,-100.0,-100.0,-0.17044488,-100.0,-1.0
2020-04-15,-100.0,-100.0,0.79163456,-99.20837,-0.99208367
2020-04-16,-100.0,-100.0,1.0643252,-98.93568,-0.98935676
2020-04-17,-100.0,-100.0,0.97820044,-99.0218,-0.990218
2020-04-18,-100.0,-100.0,0.7140376,-99.285965,-0.99285966
2020-04-19,-100.0,-100.0,0.19404024,-99.80596,-0.99805963
2020-04-20,-100.0,-100.0,-0.65605843,-100.0,-1.0
2020-04-21,-100.0,-100.0,-0.0024183784,-100.0,-1.0
2020-04-22,-100.0,-100.0,0.35643408,-99.64356,-0.99643564
2020-04-23,-100.0,-100.0,-0.69951785,-100.0,-1.0
2020-04-24,-100.0,-100.0,0.21453214,-99.78547,-0.9978547
2020-04-25,-100.0,-100.0,0.23339516,-99.7666,-0.997666
2020-04-26,-100.0,-100.0,0.37791747,-99.622086,-0.9962208
2020-04-27,-100.0,-100.0,-0.64291865,-100.0,-1.0
2020-04-28,-100.0,-100.0,-0.35927242,-100.0,-1.0
