date,observed_or_filled_yoy_pp,clipped_yoy_pp,noise_pp,released_yoy_pp,scaled_signal
2020-02-29,-2.0,-2.0,0.107599266,-1.8924007,-0.018924007
2020-03-01,-2.0,-2.0,-0.113054655,-2.1130548,-0.021130547
2020-03-02,-6.0,-6.0,0.5480704,-5.4519296,-0.054519296
2020-03-03,-12.0,-12.0,0.08977298,-11.910227,-0.11910227
2020-03-04,-12.0,-12.0,-0.45842308,-12.458423,-0.12458423
2020-03-05,-9.0,-9.0,0.30945116,-8.690549,-0.08690549
2020-03-06,-15.0,-15.0,1.1159564,-13.884044,-0.13884044
2020-03-07,-10.0,-10.0,0.81050694,-9.189493,-0.09189493
2020-03-08,-4.0,-4.0,-0.60225296,-4.602253,-0.04602253
2020-03-09,-18.0,-18.0,-1.082941,-19.082941,-0.19082941
2020-03-10,-30.0,-30.0,-0.53339505,-30.533396,-0.30533397
2020-03-11,-36.0,-36.0,0.035366558,-35.964634,-0.35964635
2020-03-12,-52.0,-52.0,-1.9897492,-53.98975,-0.5398975
2020-03-13,-61.0,-61.0,-0.18724076,-61.18724,-0.61187243
2020-03-14,-64.0,-64.0,-1.0662441,-65.066246,-0.6506625
2020-03-15,-69.0,-69.0,-0.6266706,-69.62667,-0.6962667
2020-03-16,-77.0,-77.0,-0.465774,-77.465775,-0.7746577
2020-03-17,-100.0,-100.0,-0.27068803,-100.0,-1.0
2020-03-18,-100.0,-100.0,0.35227126,-99.64773,-0.9964773
2020-03-19,-100.0,-100.0,0.8921775,-99.10783,-0.99107826
2020-03-20,-100.0,-100.0,-0.1099993,-100.0,-1.0
2020-03-21,-100.0,-100.0,1.1694124,-98.83059,-0.98830587
2020-03-22,-100.0,-100.0,-0.56927013,-100.0,-1.0
2020-03-23,-100.0,-100.0,0.3008205,-99.69918,-0.9969918
2020-03-24,-100.0,-100.0,0.7731851,-99.226814,-0.99226815
2020-03-25,-100.0,-100.0,0.080455236,-99.91955,-0.99919546
2020-03-26,-100.0,-100.0,-0.6362828,-100.0,-1.0
2020-03-27,-100.0,-100.0,-0.7888078,-100.0,-1.0
2020-03-28,-100.0,-100.0,-0.39171937,-100.0,-1.0
2020-03-29,-100.0,-100.0,0.18844184,-99.81156,-0.9981156
2020-03-30,-100.0,-100.0,-0.864026,-100.0,-1.0
2020-03-31,-100.0,-100.0,-0.17901137,-100.0,-1.0
2020-04-01,-100.0,-100.0,-0.13626394,-100.0,-1.0
2020-04-02,-100.0,-100.0,0.46285284,-99.53715,-0.99537146
2020-04-03,-100.0,-100.0,0.18370417,-99.8163,-0.998163
2020-04-04,-100.0,-100.0,0.3041261,-99.69588,-0.9969588
2020-04-05,-100.0,-100.0,-0.55954313,-100.0,-1.0
2020-04-06,-100.0,-100.0,-0.11092267,-100.0,-1.0
