date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,2193.0273,7,335.0
2020-07-10,1,2338.0837,7,346.4285583496094
2020-07-11,2,2491.6833,7,367.1428527832031
2020-07-12,3,2654.6855,7,377.28570556640625
2020-07-13,4,2827.8665,7,384.28570556640625
2020-07-14,5,3011.9656,7,374.71429443359375
2020-07-15,6,3207.719,7,376.0
2020-07-16,7,3415.876,7,379.4285583496094
2020-07-17,8,3637.2134,7,394.4285583496094
2020-07-18,9,3872.5386,7,388.71429443359375
2020-07-19,10,4122.6987,7,383.8571472167969
2020-07-20,11,4388.5806,7,373.8571472167969
2020-07-21,12,4671.116,7,364.8571472167969
2020-07-22,13,4971.282,7,348.5714416503906
2020-07-23,14,5290.105,7,332.8571472167969
2020-07-24,15,5628.657,7,316.1428527832031
2020-07-25,16,5988.064,7,306.4285583496094
2020-07-26,17,6369.4985,7,300.0
2020-07-27,18,6774.1885,7,285.28570556640625
2020-07-28,19,7203.411,7,281.71429443359375
2020-07-29,20,7658.495,7,276.4285583496094
2020-07-30,21,8140.821,7,271.0
2020-07-31,22,8651.818,7,266.71429443359375
2020-08-01,23,9192.969,7,271.4285583496094
2020-08-02,24,9765.792,7,269.71429443359375
2020-08-03,25,10371.857,7,275.71429443359375
2020-08-04,26,11012.776,7,258.0
2020-08-05,27,11690.1875,7,259.1428527832031
