date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,238.85541,7,335.0
2020-07-10,1,238.8786,7,346.4285583496094
2020-07-11,2,238.88036,7,367.1428527832031
2020-07-12,3,238.87149,7,377.28570556640625
2020-07-13,4,238.85721,7,384.28570556640625
2020-07-14,5,238.84018,7,374.71429443359375
2020-07-15,6,238.82167,7,376.0
2020-07-16,7,238.80225,7,379.4285583496094
2020-07-17,8,238.78233,7,394.4285583496094
2020-07-18,9,238.76201,7,388.71429443359375
2020-07-19,10,238.74132,7,383.8571472167969
2020-07-20,11,238.72041,7,373.8571472167969
2020-07-21,12,238.69917,7,364.8571472167969
2020-07-22,13,238.67775,7,348.5714416503906
2020-07-23,14,238.65688,7,332.8571472167969
2020-07-24,15,238.68129,7,316.1428527832031
2020-07-25,16,239.94257,7,306.4285583496094
2020-07-26,17,243.79904,7,300.0
2020-07-27,18,246.73692,7,285.28570556640625
2020-07-28,19,248.53261,7,281.71429443359375
2020-07-29,20,249.72212,7,276.4285583496094
2020-07-30,21,250.56818,7,271.0
2020-07-31,22,251.20267,7,266.71429443359375
2020-08-01,23,251.6988,7,271.4285583496094
2020-08-02,24,252.09987,7,269.71429443359375
2020-08-03,25,252.4325,7,275.71429443359375
2020-08-04,26,252.7182,7,258.0
2020-08-05,27,253.30257,7,259.1428527832031
