asof,run_tag,mode,use_adapter,epochs_gradmeta,epochs_adapter,epochs_together,seed,adapter_target,target_name,smooth_cases_window,window_days,matched_window_with_opentable,window_start,window_end,train_start,train_end,test_start,test_end,train_rmse,train_mae,test_rmse,test_mae,test_mape,privacy_mode,mechanism,epsilon,delta,Tmax,D,K,clipping_bound_pp,sensitivity_day_pp,sensitivity_l2_pp,sigma_pp,long_train,train_mse,test_mse
2020-08-05,public_only_adapter_w0_matched_ot,public_only,True,25000,5000,5000,0,smoothed,cases,0,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,412.2010877555141,267.0382907481594,648.8870052093379,628.3805106026786,237.51327550615332,,,,,,,,,,,,,,
2020-08-05,public_opentable_adapter_w0_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,0,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,398.01615382740647,256.26605284487016,191.01385974356987,167.18595123291016,70.4824134111932,,,,,,,,,,,,,,
2020-08-05,public_only_adapter_w3_matched_ot,public_only,True,25000,5000,5000,0,smoothed,cases,3,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,309.75175492222513,216.15374248855895,4679.261364646586,3806.781649453299,1385.1325487793245,,,,,,,,,,,,,,
2020-08-05,public_opentable_adapter_w3_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,3,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,299.26616502501764,199.17750757568663,2319.0305733072655,1780.5190751211985,655.8655751489575,,,,,,,,,,,,,,
2020-08-05,public_opentable_adapter_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,244.9539394208356,168.59359872136406,64.33216967208595,49.621803283691406,17.279345368032896,,,,,,,,,,,,,,
2020-08-05,public_only_adapter_w7_matched_ot,public_only,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,258.91775517385105,209.97388612746283,126.78001661253305,113.3240100315639,32.739030550752915,none,none,,,,,,,,,,True,67038.40394426628,16073.172612274157
2020-08-05,public_opentable_dp_gaussian_event_eps4_w7_matched_ot_smoketest,public_opentable,True,25,10,10,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2385.2373885031034,1673.4138925723903,6143.097279198876,5442.065516880581,1822.2729554267817,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.2714757689936731,False,5689357.399513105,37737644.18170063
2020-08-05,public_opentable_dp_gaussian_event_eps1_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,164.62871610662256,118.67909202753133,160.56080313657614,143.55575016566686,48.14694020662888,event,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,1.0859030759746926,True,27102.61416691493,25779.77150386236
2020-08-05,public_opentable_dp_gaussian_event_eps2_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,196.16527270922205,156.22583040049057,147.3097753384828,131.25423649379186,44.07683699926971,event,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.5429515379873463,True,38480.81421708346,21700.16991027428
2020-08-05,public_opentable_dp_gaussian_event_eps4_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,220.87602632625865,155.44130172688543,42.72846575897132,38.50791713169643,11.652532168913076,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.2714757689936731,True,48786.21900567809,1825.7217861155848
2020-08-05,public_opentable_dp_gaussian_event_eps8_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,210.1014000581136,163.8717089356812,85.70895575504697,70.98228781563895,20.14003172780536,event,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.1357378844968365,True,44142.59830637949,7346.0250966206
2020-08-05,public_opentable_dp_gaussian_event_eps16_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,225.82375811584288,167.95751294129678,81.49119124451356,65.13429151262555,18.07796712423014,event,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.0678689422484182,True,50996.36972956271,6640.814250449883
2020-08-05,public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,50.696477606734895,35.03189288864609,58.65476279205224,55.03894805908203,17.323558811659215,restaurant,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,13.69271678577325,True,2570.132841730173,3440.3811981919157
2020-08-05,public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,public_opentable,True,25000,5000,5000,0,smoothed,cases,7,159,True,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,87.2241624954272,65.86492372309888,53.68693868398866,47.09053911481585,13.815561238990089,restaurant,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,6.846358392886625,True,7608.054523028687,2882.287385258358
