date,day_idx,pred_cases,smooth_cases_window,truth_cases
2020-07-09,0,-47.573692,0,409.0
2020-07-10,1,-48.59388,0,327.0
2020-07-11,2,-49.56932,0,276.0
2020-07-12,3,-50.483624,0,236.0
2020-07-13,4,-51.324272,0,504.0
2020-07-14,5,-52.08625,0,418.0
2020-07-15,6,-52.768307,0,462.0
2020-07-16,7,-53.368855,0,433.0
2020-07-17,8,-53.895363,0,432.0
2020-07-18,9,-54.35128,0,236.0
2020-07-19,10,-54.728455,0,202.0
2020-07-20,11,-55.045013,0,434.0
2020-07-21,12,-55.316208,0,355.0
2020-07-22,13,-55.499805,0,348.0
2020-07-23,14,-55.607426,0,323.0
2020-07-24,15,-55.73996,0,315.0
2020-07-25,16,-55.82816,0,168.0
2020-07-26,17,-55.68128,0,157.0
2020-07-27,18,-55.478836,0,331.0
2020-07-28,19,-55.550903,0,330.0
2020-07-29,20,-55.525127,0,311.0
2020-07-30,21,-54.89433,0,285.0
2020-07-31,22,-54.216003,0,285.0
2020-08-01,23,-54.179745,0,201.0
2020-08-02,24,-53.12635,0,145.0
2020-08-03,25,-48.85665,0,373.0
2020-08-04,26,-50.229553,0,206.0
2020-08-05,27,-56.11541,0,319.0
