day_idx,pred_cases,smooth_cases_window,truth_cases
0,1777.7135,3,1651.0
1,1826.3723,3,1997.0
2,1878.8594,3,2450.0
3,1933.4309,3,2804.666748046875
4,1989.562,3,2470.333251953125
5,2046.978,3,2187.0
6,2105.5798,3,1751.3333740234375
7,2165.3079,3,1520.0
8,2226.1277,3,1733.0
9,2288.0227,3,2104.333251953125
10,2350.9878,3,2493.333251953125
11,2415.0266,3,2405.0
12,2480.1462,3,2262.333251953125
13,2546.356,3,1802.0
14,2613.6663,3,1455.3333740234375
15,2682.0881,3,1610.0
16,2751.6323,3,1893.0
17,2822.3093,3,2125.0
18,2894.1284,3,2085.666748046875
19,2967.1,3,2080.666748046875
20,3041.233,3,1863.6666259765625
21,3116.5354,3,1521.6666259765625
22,3193.0146,3,1567.3333740234375
23,3270.6777,3,1974.0
24,3349.5312,3,2371.666748046875
25,3429.58,3,2429.333251953125
26,3510.8296,3,2282.0
27,3589.139,3,1916.6666259765625
