day_idx,pred_cases,smooth_cases_window,truth_cases
0,1607.7639,7,2017.857177734375
1,1603.437,7,2085.857177734375
2,1596.6807,7,2169.28564453125
3,1588.4414,7,2208.28564453125
4,1579.5842,7,2203.71435546875
5,1570.9646,7,2188.428466796875
6,1562.6559,7,2169.857177734375
7,1552.7913,7,2147.571533203125
8,1541.4679,7,2075.28564453125
9,1529.7992,7,2021.7142333984375
10,1518.0587,7,2014.142822265625
11,1506.3113,7,2047.2857666015625
12,1494.5901,7,2054.0
13,1482.9155,7,2035.857177734375
14,1471.3013,7,2019.5714111328125
15,1459.7556,7,2001.2857666015625
16,1448.284,7,1945.2857666015625
17,1436.89,7,1861.7142333984375
18,1425.5758,7,1864.4285888671875
19,1414.3425,7,1867.4285888671875
20,1403.1912,7,1888.142822265625
21,1392.122,7,1892.857177734375
22,1381.135,7,1849.142822265625
23,1370.2303,7,1922.857177734375
24,1359.4077,7,1998.5714111328125
25,1348.6669,7,1996.4285888671875
26,1338.003,7,2009.142822265625
27,1267.4844,7,2021.2857666015625
