day_idx,pred_cases,smooth_cases_window,truth_cases
0,129618.06,7,2017.857177734375
1,128039.016,7,2085.857177734375
2,126062.484,7,2169.28564453125
3,123925.625,7,2208.28564453125
4,121718.27,7,2203.71435546875
5,119480.44,7,2188.428466796875
6,117234.22,7,2169.857177734375
7,114994.234,7,2147.571533203125
8,112771.16,7,2075.28564453125
9,110573.12,7,2021.7142333984375
10,108406.31,7,2014.142822265625
11,106275.305,7,2047.2857666015625
12,104183.375,7,2054.0
13,102132.72,7,2035.857177734375
14,100124.66,7,2019.5714111328125
15,98159.836,7,2001.2857666015625
16,96238.34,7,1945.2857666015625
17,94359.875,7,1861.7142333984375
18,92523.79,7,1864.4285888671875
19,90729.234,7,1867.4285888671875
20,88975.22,7,1888.142822265625
21,87260.64,7,1892.857177734375
22,85584.336,7,1849.142822265625
23,83945.14,7,1922.857177734375
24,82341.86,7,1998.5714111328125
25,80773.36,7,1996.4285888671875
26,79238.484,7,2009.142822265625
27,77736.19,7,2021.2857666015625
