condition_group,condition_label,privacy_mode,epsilon,seed_count,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
Matched non-private baselines,Public-only baseline,none,,5,97.47495048175348,30.978428757255664,86.04280602591379,32.05318553297078,,
Matched non-private baselines,Non-private OpenTable baseline,none,,5,102.11716259780056,37.14217830899469,89.03240476335797,38.6920973361555,,
Event-level Gaussian DP,Event-DP OpenTable,event,1.0,5,116.13230231477482,29.314677543616984,105.74510672433034,32.00252159491507,30.88643098473982,10.133852428187136
Event-level Gaussian DP,Event-DP OpenTable,event,2.0,5,131.62215726938305,35.99793870489867,118.55268358503068,39.64506780054213,37.8681340652244,13.02208966544122
Event-level Gaussian DP,Event-DP OpenTable,event,4.0,5,113.3570649877778,56.64269023116496,105.05922273908342,56.133282825828374,32.70635310828598,17.366375135325335
Event-level Gaussian DP,Event-DP OpenTable,event,8.0,5,80.3474176074669,28.56836731604683,69.46118937901088,26.566865222158537,21.64701823426808,8.94118794543916
Event-level Gaussian DP,Event-DP OpenTable,event,16.0,5,98.51118728260674,28.02411600636409,86.28495450701033,26.497793283755275,25.949558690666937,6.537623986115421
Restaurant-level Gaussian DP,Restaurant-DP OpenTable,restaurant,1.0,5,71.24582959631012,53.11075932236337,63.848919132777624,52.576111042290094,19.975726866929513,15.251945558648243
Restaurant-level Gaussian DP,Restaurant-DP OpenTable,restaurant,2.0,5,115.83244352952886,56.36618958811792,107.16573143005373,57.86446323811843,32.660803178235014,17.76770340632583
Restaurant-level Gaussian DP,Restaurant-DP OpenTable,restaurant,4.0,5,74.17546846998508,25.296985467141823,63.596798706054685,22.72230856277931,20.703830655989883,6.66842619492414
Restaurant-level Gaussian DP,Restaurant-DP OpenTable,restaurant,8.0,5,71.07823469872608,22.425710434663085,57.37224284580775,15.580634559913069,18.18871423776081,5.576308784712741
Restaurant-level Gaussian DP,Restaurant-DP OpenTable,restaurant,16.0,5,77.9672424682118,45.64296568632447,69.53374862670898,45.05476821091387,21.538640390861424,13.11867247434695
