run_name,seed,privacy_mode,mechanism,epsilon,delta,Tmax,D,K,clipping_bound_pp,sensitivity_day_pp,sensitivity_l2_pp,sigma_pp,smoothing_window,window_start,window_end,train_start,train_end,test_start,test_end,MSE,RMSE,MAE,MAPE,seed_dir
public_only_adapter_w7_matched_ot,0,none,none,,,,,,,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7199.928941697697,84.85239502629078,67.27665056501117,18.62470471397919,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_adapter_w7_matched_ot,0,none,none,,,,,159.0,100.0,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,17585.649434270203,132.6108948550993,119.91497366768974,40.07778939623477,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_event_eps1_w7_matched_ot,0,event,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,1.0859030759746926,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,14389.049998255114,119.95436631592496,107.85584912981305,31.23624797835533,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_event_eps2_w7_matched_ot,0,event,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.5429515379873463,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7046.694241880423,83.94459030741899,66.08633095877511,18.257340147403294,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_event_eps4_w7_matched_ot,0,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.27147576899367315,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4005.502938889765,63.28904280276141,55.07953316824777,16.064010285696583,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_event_eps8_w7_matched_ot,0,event,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.13573788449683657,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2705.4351806830214,52.01379798364105,47.18439374651228,14.240670857199747,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_event_eps16_w7_matched_ot,0,event,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.06786894224841829,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,12255.371618168445,110.70398194359788,90.75785173688617,25.403880683007174,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,0,restaurant,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,13.69271678577325,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4088.1444010864943,63.938598679408784,50.741590227399556,17.53753818609013,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,0,restaurant,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,6.846358392886625,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,13088.90614816184,114.40675744099138,102.7137701851981,34.36553140480744,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_restaurant_eps4_w7_matched_ot,0,restaurant,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,3.4231791964433125,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,6668.393369814315,81.66023126231222,71.51492745535714,23.866904956574754,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_restaurant_eps8_w7_matched_ot,0,restaurant,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,1.7115895982216562,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7446.956827676323,86.29575208361257,65.77368600027901,23.045773168856133,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_opentable_dp_gaussian_restaurant_eps16_w7_matched_ot,0,restaurant,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,0.8557947991108281,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,6124.476351956072,78.25903367634993,60.74057987758091,21.205518517514705,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_0
public_only_adapter_w7_matched_ot,1,none,none,,,,,,,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,10750.524559760483,103.6847363875729,90.71814618791852,25.994332550687737,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_adapter_w7_matched_ot,1,none,none,,,,,159.0,100.0,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2775.915787873856,52.68696032106859,46.76704842703683,13.794200573991272,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_event_eps1_w7_matched_ot,1,event,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,1.0859030759746926,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,9190.602815112232,95.86763173831005,85.72040557861328,24.791028376508248,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
public_opentable_dp_gaussian_event_eps2_w7_matched_ot,1,event,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.5429515379873463,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,13265.351271235151,115.17530669043235,99.41569192068917,33.745961809502894,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_1
